|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
|4FGL J0252.3-2707 |02 52 20.2|-27 07 51|    6.3853e-11|          2.1624e-11|                5.4676|PowerLaw        |                   |                            |           001|
|4FGL J0256.2-0408 |02 56 13.1|-04 08 02|    1.2023e-10|          3.0943e-11|                4.9018|PowerLaw        |                   |                            |           000|
|4FGL J0257.8+7044 |02 57 51.1|+70 44 33|    2.6637e-10|          4.9724e-11|                5.3846|PowerLaw        |                   |                            |           008|
|4FGL J0259.0+0552 |02 59 00.5|+05 52 41|    7.8354e-10|          6.5659e-11|               20.3312|LogParabola     |3FGL J0258.9+0552  |                            |           000|
|4FGL J0300.0-5908 |03 00 05.1|-59 08 10|    8.2676e-11|          2.1667e-11|                4.6832|PowerLaw        |                   |                            |           000|
|4FGL J0300.4+3450 |03 00 28.2|+34 50 39|    1.7598e-10|          3.9306e-11|                4.4140|PowerLaw        |                   |                            |           000|
|4FGL J0301.6-5617 |03 01 39.3|-56 17 58|    1.5353e-10|          2.5880e-11|                8.4838|PowerLaw        |                   |                            |           000|
|4FGL J0302.5+3354 |03 02 30.1|+33 54 05|    1.4186e-10|          4.2343e-11|                6.6180|PowerLaw        |                   |                            |           000|
|4FGL J0302.7+5717 |03 02 46.0|+57 17 17|    3.0337e-10|          7.5554e-11|                4.6073|PowerLaw        |                   |                            |           008|
|4FGL J0304.6+6554 |03 04 38.3|+65 54 23|    3.0467e-10|          6.0310e-11|                6.2587|LogParabola     |                   |                            |           000|
|4FGL J0308.9-4702 |03 08 57.6|-47 02 28|    3.1490e-11|          1.6490e-11|                3.3894|PowerLaw        |                   |                            |          4096|
|4FGL J0309.9-6941 |03 09 55.8|-69 41 46|    9.0329e-11|          2.3310e-11|                4.1827|PowerLaw        |                   |                            |           000|
|4FGL J0311.3+2940 |03 11 19.1|+29 40 34|    1.9830e-10|          5.3676e-11|                5.6966|LogParabola     |                   |                            |           001|
|4FGL J0312.1-0921 |03 12 06.7|-09 21 15|    1.0298e-09|          7.3474e-11|               21.7356|LogParabola     |3FGL J0312.1-0921  |                            |           000|
|4FGL J0312.7+2012 |03 12 47.9|+20 12 59|    1.5969e-10|          3.8400e-11|                6.1621|PowerLaw        |3FGL J0312.7+2011  |                            |           000|
|4FGL J0313.6-7508 |03 13 39.9|-75 08 42|    6.2549e-11|          2.2955e-11|                4.6164|PowerLaw        |                   |                            |           004|
|4FGL J0314.1+2827 |03 14 11.3|+28 27 08|    1.8557e-10|          4.3532e-11|                4.1636|PowerLaw        |                   |                            |           000|
|4FGL J0314.1+5033 |03 14 11.7|+50 33 26|    2.7135e-10|          5.5073e-11|                5.1087|PowerLaw        |                   |                            |           009|
|4FGL J0314.4-4805 |03 14 29.1|-48 05 05|    1.2190e-10|          2.5020e-11|                5.7998|PowerLaw        |                   |                            |           000|
|4FGL J0318.8+2848 |03 18 53.5|+28 48 28|    3.5093e-10|          6.7798e-11|                5.1070|LogParabola     |                   |                            |          2305|
|4FGL J0327.6+2620 |03 27 40.1|+26 20 03|    1.2590e-10|          3.6897e-11|                5.2416|PowerLaw        |                   |                            |           000|
|4FGL J0328.4-4736 |03 28 24.2|-47 36 57|    2.3369e-10|          3.0419e-11|               11.1926|PowerLaw        |                   |                            |           000|
|4FGL J0328.5+6114 |03 28 34.3|+61 14 51|    3.4153e-10|          6.1889e-11|                5.9917|PowerLaw        |3FGL J0332.4+6110  |                            |           001|
|4FGL J0328.6-1129 |03 28 38.6|-11 29 43|    1.9948e-10|          3.5598e-11|                7.4399|PowerLaw        |                   |                            |           000|
|4FGL J0330.1+5038 |03 30 11.4|+50 38 01|    6.8005e-10|          7.6155e-11|               11.0815|LogParabola     |                   |                            |           000|
|4FGL J0330.7+5845 |03 30 44.9|+58 45 08|    6.6735e-10|          1.1340e-10|                8.7390|LogParabola     |                   |                            |           000|
|4FGL J0333.0-3044 |03 33 03.2|-30 44 42|    1.2473e-10|          2.6552e-11|                5.9270|PowerLaw        |                   |                            |           000|
|4FGL J0333.4-2705 |03 33 29.4|-27 05 10|    1.3307e-10|          2.6633e-11|                6.6018|PowerLaw        |                   |                            |           000|
|4FGL J0336.0+7502 |03 36 06.0|+75 03 00|    1.3435e-09|          6.7938e-11|               31.1075|LogParabola     |3FGL J0336.1+7500  |                            |           512|
|4FGL J0337.5+2423c|03 37 34.6|+24 23 01|    2.1379e-10|          4.2171e-11|                5.6125|PowerLaw        |                   |                            |           033|
|4FGL J0340.4+5302 |03 40 26.4|+53 02 11|    9.5649e-10|          1.0167e-10|               30.0774|LogParabola     |3FGL J0340.4+5302  |                            |           000|
|4FGL J0341.9+3153c|03 41 56.4|+31 53 43|    7.3730e-10|          1.1277e-10|                7.0312|LogParabola     |3FGL J0342.3+3148c |                            |           032|
|4FGL J0342.4+3125c|03 42 24.9|+31 25 26|    3.2421e-10|          7.2790e-11|                4.3920|PowerLaw        |                   |                            |           032|
|4FGL J0343.3-6303 |03 43 22.9|-63 03 17|    2.4609e-10|          3.1776e-11|               10.8029|PowerLaw        |                   |                            |           000|
|4FGL J0346.2+3235c|03 46 16.7|+32 35 07|    3.4982e-10|          6.6706e-11|                5.3416|PowerLaw        |                   |                            |           048|
|4FGL J0347.0-6400 |03 47 02.5|-64 00 12|    2.1880e-10|          3.8325e-11|                7.1363|LogParabola     |                   |                            |           000|
|4FGL J0347.5+0722 |03 47 35.1|+07 22 58|    1.0184e-10|          3.4421e-11|                4.2193|PowerLaw        |                   |                            |           000|
|4FGL J0349.6+4026 |03 49 37.7|+40 26 21|    2.6791e-10|          5.0262e-11|                5.5997|PowerLaw        |                   |                            |           000|
|4FGL J0357.7-6808 |03 57 45.7|-68 08 02|    6.6868e-11|          2.4023e-11|                4.3036|PowerLaw        |                   |                            |           000|
|4FGL J0358.1+2850 |03 58 06.6|+28 50 52|    2.0709e-10|          5.3044e-11|                5.6879|LogParabola     |                   |                            |           257|
|4FGL J0358.7-7403 |03 58 47.4|-74 03 23|    1.1819e-10|          2.9388e-11|                4.1548|PowerLaw        |                   |                            |           000|
|4FGL J0359.3+3626 |03 59 19.7|+36 26 23|    3.1399e-10|          6.4304e-11|                7.2539|LogParabola     |                   |                            |           001|
|4FGL J0403.3+1249 |04 03 18.4|+12 49 26|    1.7354e-10|          4.5774e-11|                4.1784|PowerLaw        |                   |                            |           000|
|4FGL J0405.4-6929 |04 05 28.1|-69 29 19|    1.9898e-10|          3.1425e-11|                8.3954|PowerLaw        |                   |                            |           000|
|4FGL J0406.2+0639 |04 06 12.3|+06 39 09|    2.0253e-10|          4.3911e-11|                4.9342|PowerLaw        |                   |                            |           000|
|4FGL J0407.7-5702 |04 07 43.8|-57 02 09|    1.0071e-10|          2.1995e-11|                5.7110|PowerLaw        |                   |                            |           000|
|4FGL J0409.2+2542 |04 09 15.5|+25 42 08|    2.1600e-10|          4.5194e-11|                6.4934|PowerLaw        |                   |                            |           000|
|4FGL J0409.4-3822 |04 09 25.1|-38 22 02|    1.6153e-10|          3.6975e-11|                6.9668|PowerLaw        |                   |                            |           016|
|4FGL J0409.7+4006c|04 09 44.4|+40 06 33|    3.8888e-10|          1.0845e-10|                6.5988|LogParabola     |                   |                            |           032|
|4FGL J0412.5+6519c|04 12 31.9|+65 20 00|    1.8180e-10|          7.0001e-11|                5.7961|LogParabola     |                   |                            |           032|
|4FGL J0413.1-0304 |04 13 11.5|-03 04 34|    2.3639e-10|          3.9741e-11|                8.1592|PowerLaw        |                   |                            |           000|
|4FGL J0413.4-8609 |04 13 29.6|-86 09 13|    1.7050e-10|          3.3772e-11|                5.5019|PowerLaw        |                   |                            |           000|
|4FGL J0414.3+4522 |04 14 23.1|+45 22 04|    1.7869e-10|          5.2997e-11|                4.3856|PowerLaw        |                   |                            |           000|
|4FGL J0414.6+5711 |04 14 40.8|+57 11 18|    2.9813e-10|          5.5184e-11|                7.7961|PowerLaw        |                   |                            |           000|
|4FGL J0414.7-4300 |04 14 47.4|-43 00 43|    4.1774e-10|          4.6714e-11|               15.2756|LogParabola     |                   |                            |           000|
|4FGL J0418.4-4342 |04 18 29.6|-43 42 58|    6.2250e-11|          2.4325e-11|                4.7403|PowerLaw        |                   |                            |           000|
|4FGL J0418.9+6636 |04 18 54.1|+66 36 00|    1.6189e-09|          8.1371e-11|               30.1301|LogParabola     |3FGL J0419.1+6636  |                            |           000|
|4FGL J0423.0-0943 |04 23 00.3|-09 43 10|    3.6421e-10|          5.1800e-11|                9.4926|LogParabola     |                   |                            |           000|
|4FGL J0426.5+5434 |04 26 31.3|+54 34 13|    2.1675e-09|          1.1496e-10|               28.4496|LogParabola     |3FGL J0426.7+5437  |                            |           000|
